shipping date (DateOrders),YEAR,Month,Day
2/9/2017 9:52:00 PM,2017,2,9
12/9/2016 1:48:00 PM,2016,12,9
1/10/2015 10:35:00 PM,2015,1,10
11/11/2016 10:10:00 PM,2016,11,11
8/12/2016 3:54:00 AM,2016,8,12
1/13/2017 11:13:00 AM,2017,1,13
1/14/2017 8:41:00 PM,2017,1,14
4/14/2016 1:32:00 PM,2016,4,14
8/14/2016 5:55:00 PM,2016,8,14
1/15/2017 7:11:00 AM,2017,1,15
10/15/2016 7:51:00 AM,2016,10,15
10/15/2017 6:48:00 AM,2017,10,15
12/15/2015 12:44:00 AM,2015,12,15
5/16/2015 2:42:00 PM,2015,5,16
5/16/2017 10:58:00 PM,2017,5,16
7/16/2015 7:05:00 AM,2015,7,16
7/16/2017 7:38:00 AM,2017,7,16
10/16/2016 10:17:00 AM,2016,10,16
12/16/2015 10:01:00 AM,2015,12,16
12/16/2015 11:31:00 PM,2015,12,16
12/17/2015 3:48:00 AM,2015,12,17
4/18/2016 10:01:00 AM,2016,4,18
3/20/2017 9:07:00 PM,2017,3,20
7/20/2015 5:14:00 PM,2015,7,20
1/21/2017 8:24:00 AM,2017,1,21
6/21/2017 9:15:00 AM,2017,6,21
11/21/2015 6:07:00 PM,2015,11,21
6/22/2017 1:01:00 AM,2017,6,22
4/23/2016 9:19:00 AM,2016,4,23
9/23/2017 7:27:00 PM,2017,9,23
1/24/2018 10:57:00 PM,2018,1,24
12/25/2016 3:27:00 PM,2016,12,25
12/25/2017 10:34:00 AM,2017,12,25
11/26/2017 2:43:00 AM,2017,11,26
12/26/2015 1:04:00 AM,2015,12,26
3/27/2017 4:28:00 AM,2017,3,27
8/27/2017 9:19:00 AM,2017,8,27
9/27/2015 1:12:00 AM,2015,9,27
1/28/2015 4:36:00 PM,2015,1,28
4/28/2016 6:09:00 AM,2016,4,28
9/29/2017 3:25:00 PM,2017,9,29
10/29/2015 3:36:00 AM,2015,10,29
11/30/2015 2:52:00 AM,2015,11,30
5/31/2017 4:43:00 AM,2017,5,31
7/31/2016 3:18:00 PM,2016,7,31
6/1/2016 4:16:00 PM,2016,6,1
9/1/2016 9:18:00 AM,2016,9,1
11/1/2017 12:13:00 PM,2017,11,1
2/2/2016 4:52:00 AM,2016,2,2
7/3/2017 6:46:00 AM,2017,7,3
9/3/2017 10:53:00 AM,2017,9,3
12/4/2015 9:52:00 AM,2015,12,4
8/5/2017 2:42:00 AM,2017,8,5
2/6/2015 3:27:00 AM,2015,2,6
8/6/2017 8:39:00 AM,2017,8,6
7/8/2015 2:32:00 AM,2015,7,8
2/9/2016 7:29:00 AM,2016,2,9
3/9/2016 6:40:00 PM,2016,3,9
9/9/2016 6:40:00 AM,2016,9,9
9/9/2016 5:21:00 PM,2016,9,9
1/10/2015 3:08:00 AM,2015,1,10
8/10/2016 5:03:00 PM,2016,8,10
10/10/2017 1:55:00 AM,2017,10,10
2/12/2016 6:31:00 PM,2016,2,12
3/12/2015 2:00:00 AM,2015,3,12
7/12/2017 8:05:00 PM,2017,7,12
9/12/2017 3:26:00 PM,2017,9,12
12/12/2015 7:03:00 AM,2015,12,12
1/13/2017 9:54:00 PM,2017,1,13
11/13/2015 8:40:00 AM,2015,11,13
10/15/2016 10:02:00 PM,2016,10,15
3/16/2017 11:03:00 PM,2017,3,16
8/16/2015 1:57:00 AM,2015,8,16
11/17/2016 11:55:00 PM,2016,11,17
1/18/2016 6:02:00 PM,2016,1,18
5/18/2016 4:43:00 AM,2016,5,18
5/18/2017 4:45:00 AM,2017,5,18
6/18/2016 9:09:00 PM,2016,6,18
12/18/2015 11:04:00 AM,2015,12,18
10/19/2015 4:40:00 PM,2015,10,19
9/20/2016 12:10:00 PM,2016,9,20
4/21/2017 11:47:00 AM,2017,4,21
3/22/2016 11:59:00 AM,2016,3,22
3/22/2017 7:00:00 PM,2017,3,22
1/23/2018 11:24:00 AM,2018,1,23
11/23/2017 5:26:00 AM,2017,11,23
7/24/2017 5:21:00 AM,2017,7,24
9/24/2016 2:11:00 PM,2016,9,24
1/26/2016 10:29:00 AM,2016,1,26
2/26/2016 9:18:00 PM,2016,2,26
5/26/2015 4:47:00 PM,2015,5,26
6/26/2016 10:48:00 AM,2016,6,26
12/26/2016 8:58:00 AM,2016,12,26
11/27/2016 8:29:00 AM,2016,11,27
3/28/2016 8:23:00 PM,2016,3,28
7/28/2015 2:46:00 PM,2015,7,28
9/29/2016 2:00:00 PM,2016,9,29
1/30/2016 5:35:00 AM,2016,1,30
4/30/2017 2:55:00 PM,2017,4,30
12/30/2015 3:21:00 AM,2015,12,30
5/31/2015 7:35:00 PM,2015,5,31
7/31/2017 5:10:00 AM,2017,7,31
1/1/2017 8:36:00 AM,2017,1,1
6/1/2017 12:20:00 AM,2017,6,1
7/1/2015 7:58:00 AM,2015,7,1
7/1/2015 9:43:00 PM,2015,7,1
8/1/2017 2:58:00 PM,2017,8,1
1/2/2018 12:24:00 AM,2018,1,2
4/2/2016 9:15:00 PM,2016,4,2
4/2/2017 12:25:00 AM,2017,4,2
1/4/2017 6:14:00 PM,2017,1,4
11/4/2015 3:56:00 PM,2015,11,4
9/5/2016 9:50:00 AM,2016,9,5
1/6/2018 10:01:00 AM,2018,1,6
1/6/2018 5:17:00 PM,2018,1,6
6/7/2016 4:47:00 PM,2016,6,7
6/8/2015 12:55:00 PM,2015,6,8
6/8/2015 2:30:00 PM,2015,6,8
10/8/2016 7:56:00 PM,2016,10,8
3/9/2017 5:53:00 AM,2017,3,9
5/11/2016 8:14:00 AM,2016,5,11
5/12/2015 8:08:00 PM,2015,5,12
9/12/2016 3:36:00 PM,2016,9,12
10/14/2017 6:27:00 AM,2017,10,14
3/15/2015 5:30:00 AM,2015,3,15
5/15/2016 5:10:00 PM,2016,5,15
7/15/2016 8:51:00 AM,2016,7,15
11/15/2017 8:52:00 AM,2017,11,15
4/16/2017 11:26:00 AM,2017,4,16
11/16/2015 6:02:00 AM,2015,11,16
2/17/2015 8:31:00 AM,2015,2,17
2/17/2016 9:24:00 AM,2016,2,17
4/17/2015 12:17:00 PM,2015,4,17
4/17/2015 5:48:00 PM,2015,4,17
1/18/2017 12:21:00 AM,2017,1,18
1/18/2017 6:40:00 AM,2017,1,18
1/18/2017 7:11:00 AM,2017,1,18
6/18/2016 5:28:00 PM,2016,6,18
12/18/2017 4:48:00 AM,2017,12,18
8/19/2015 5:38:00 AM,2015,8,19
10/19/2015 6:09:00 PM,2015,10,19
1/20/2018 12:06:00 PM,2018,1,20
7/20/2016 7:47:00 AM,2016,7,20
2/21/2017 9:14:00 AM,2017,2,21
9/21/2015 6:44:00 PM,2015,9,21
10/21/2016 7:34:00 PM,2016,10,21
12/21/2015 5:33:00 PM,2015,12,21
11/22/2015 4:42:00 AM,2015,11,22
5/24/2017 10:41:00 AM,2017,5,24
11/24/2015 5:30:00 AM,2015,11,24
1/25/2017 2:37:00 PM,2017,1,25
1/25/2018 9:12:00 PM,2018,1,25
2/25/2015 3:04:00 AM,2015,2,25
10/25/2017 6:37:00 AM,2017,10,25
5/27/2016 9:53:00 PM,2016,5,27
8/27/2016 10:22:00 AM,2016,8,27
10/28/2015 8:46:00 PM,2015,10,28
4/29/2015 12:48:00 PM,2015,4,29
6/30/2017 9:46:00 AM,2017,6,30
8/30/2015 8:57:00 AM,2015,8,30
11/30/2015 1:38:00 AM,2015,11,30
1/31/2017 10:09:00 AM,2017,1,31
11/1/2016 6:25:00 PM,2016,11,1
5/2/2016 6:40:00 AM,2016,5,2
6/2/2016 7:41:00 AM,2016,6,2
7/2/2017 12:49:00 AM,2017,7,2
11/2/2016 1:36:00 PM,2016,11,2
7/3/2015 7:32:00 PM,2015,7,3
4/5/2017 12:15:00 AM,2017,4,5
8/5/2015 6:32:00 AM,2015,8,5
4/6/2017 2:31:00 AM,2017,4,6
9/6/2017 2:03:00 PM,2017,9,6
10/7/2016 5:55:00 AM,2016,10,7
6/8/2015 3:11:00 PM,2015,6,8
1/9/2017 9:23:00 PM,2017,1,9
7/9/2017 10:32:00 PM,2017,7,9
11/9/2017 8:10:00 AM,2017,11,9
12/9/2017 9:47:00 PM,2017,12,9
2/10/2017 1:38:00 PM,2017,2,10
1/11/2015 11:27:00 PM,2015,1,11
5/11/2017 3:52:00 AM,2017,5,11
6/12/2015 11:46:00 AM,2015,6,12
10/12/2017 6:59:00 AM,2017,10,12
11/12/2016 1:35:00 PM,2016,11,12
12/12/2017 3:40:00 PM,2017,12,12
3/13/2017 1:41:00 AM,2017,3,13
8/13/2017 6:49:00 PM,2017,8,13
10/13/2015 3:32:00 PM,2015,10,13
8/14/2017 9:21:00 AM,2017,8,14
4/15/2015 10:59:00 PM,2015,4,15
11/16/2016 8:51:00 AM,2016,11,16
11/16/2017 3:00:00 PM,2017,11,16
3/17/2016 9:06:00 PM,2016,3,17
3/17/2017 2:01:00 AM,2017,3,17
4/17/2015 2:18:00 AM,2015,4,17
5/17/2017 8:04:00 AM,2017,5,17
9/17/2015 6:07:00 AM,2015,9,17
3/19/2016 5:09:00 AM,2016,3,19
4/19/2016 2:13:00 PM,2016,4,19
5/20/2015 1:44:00 AM,2015,5,20
5/20/2017 2:17:00 AM,2017,5,20
6/20/2017 8:43:00 AM,2017,6,20
5/21/2016 1:23:00 AM,2016,5,21
7/21/2017 9:54:00 AM,2017,7,21
9/21/2016 1:08:00 PM,2016,9,21
11/21/2016 10:14:00 AM,2016,11,21
6/23/2015 10:47:00 AM,2015,6,23
10/23/2017 12:19:00 AM,2017,10,23
1/24/2017 3:14:00 PM,2017,1,24
2/24/2015 7:43:00 AM,2015,2,24
5/24/2015 10:29:00 AM,2015,5,24
5/24/2015 2:20:00 PM,2015,5,24
4/26/2017 2:09:00 AM,2017,4,26
8/26/2015 8:36:00 AM,2015,8,26
11/26/2016 7:31:00 PM,2016,11,26
11/28/2015 9:10:00 AM,2015,11,28
12/28/2017 3:02:00 AM,2017,12,28
3/29/2016 3:08:00 AM,2016,3,29
10/29/2017 3:48:00 AM,2017,10,29
12/29/2017 2:25:00 PM,2017,12,29
9/30/2016 8:55:00 AM,2016,9,30
9/30/2017 10:41:00 AM,2017,9,30
11/30/2017 4:43:00 PM,2017,11,30
1/31/2018 5:41:00 PM,2018,1,31
3/31/2017 7:20:00 AM,2017,3,31
10/31/2017 11:31:00 AM,2017,10,31
4/1/2016 10:18:00 PM,2016,4,1
5/1/2017 7:08:00 PM,2017,5,1
1/3/2016 10:42:00 AM,2016,1,3
3/3/2016 7:22:00 PM,2016,3,3
5/3/2016 2:44:00 PM,2016,5,3
9/3/2017 8:48:00 AM,2017,9,3
3/4/2016 10:00:00 AM,2016,3,4
5/4/2016 10:05:00 PM,2016,5,4
8/5/2015 3:33:00 AM,2015,8,5
3/6/2015 9:43:00 AM,2015,3,6
6/6/2017 4:38:00 PM,2017,6,6
12/6/2015 5:02:00 PM,2015,12,6
3/7/2016 2:12:00 AM,2016,3,7
3/7/2017 2:23:00 AM,2017,3,7
7/7/2015 12:37:00 AM,2015,7,7
1/8/2015 2:21:00 PM,2015,1,8
1/8/2018 9:45:00 PM,2018,1,8
5/8/2015 5:36:00 AM,2015,5,8
11/8/2016 8:46:00 PM,2016,11,8
5/9/2017 6:35:00 PM,2017,5,9
7/9/2015 8:19:00 AM,2015,7,9
7/9/2017 8:47:00 PM,2017,7,9
4/10/2016 9:36:00 PM,2016,4,10
7/10/2016 11:29:00 AM,2016,7,10
11/11/2015 2:01:00 AM,2015,11,11
1/12/2018 12:49:00 AM,2018,1,12
3/12/2015 9:06:00 PM,2015,3,12
3/13/2017 3:26:00 AM,2017,3,13
1/14/2015 11:16:00 PM,2015,1,14
2/14/2015 2:23:00 AM,2015,2,14
6/14/2016 7:03:00 PM,2016,6,14
2/15/2015 9:34:00 AM,2015,2,15
6/15/2015 12:49:00 AM,2015,6,15
10/15/2015 7:44:00 PM,2015,10,15
12/15/2016 12:03:00 AM,2016,12,15
7/16/2015 1:28:00 PM,2015,7,16
8/17/2017 11:26:00 AM,2017,8,17
10/17/2016 7:24:00 PM,2016,10,17
6/18/2016 8:48:00 PM,2016,6,18
1/19/2018 11:35:00 AM,2018,1,19
3/19/2016 6:28:00 PM,2016,3,19
4/19/2017 3:49:00 PM,2017,4,19
6/19/2015 3:16:00 AM,2015,6,19
9/20/2016 5:41:00 PM,2016,9,20
1/21/2016 1:07:00 PM,2016,1,21
3/21/2015 10:34:00 AM,2015,3,21
5/21/2016 10:46:00 PM,2016,5,21
11/21/2015 12:10:00 PM,2015,11,21
5/22/2017 10:31:00 AM,2017,5,22
4/23/2016 7:49:00 PM,2016,4,23
4/23/2017 4:04:00 AM,2017,4,23
8/23/2016 4:56:00 AM,2016,8,23
12/23/2015 6:04:00 PM,2015,12,23
1/24/2015 12:24:00 PM,2015,1,24
3/24/2016 3:39:00 AM,2016,3,24
5/24/2015 3:55:00 PM,2015,5,24
5/24/2017 8:30:00 PM,2017,5,24
2/25/2015 12:00:00 PM,2015,2,25
3/25/2017 11:28:00 AM,2017,3,25
11/26/2017 11:34:00 PM,2017,11,26
7/27/2015 8:39:00 AM,2015,7,27
9/27/2016 11:06:00 PM,2016,9,27
3/28/2016 11:22:00 PM,2016,3,28
4/28/2016 9:18:00 AM,2016,4,28
1/29/2017 1:55:00 AM,2017,1,29
8/29/2017 1:11:00 PM,2017,8,29
1/30/2016 12:45:00 PM,2016,1,30
4/30/2017 6:31:00 AM,2017,4,30
1/1/2017 11:56:00 AM,2017,1,1
3/1/2016 2:02:00 AM,2016,3,1
3/1/2017 4:56:00 PM,2017,3,1
7/1/2015 5:26:00 PM,2015,7,1
10/1/2016 6:22:00 AM,2016,10,1
1/2/2016 10:15:00 PM,2016,1,2
2/2/2015 3:32:00 PM,2015,2,2
2/2/2018 7:05:00 PM,2018,2,2
9/2/2017 10:48:00 PM,2017,9,2
11/2/2017 12:28:00 AM,2017,11,2
3/3/2017 3:27:00 AM,2017,3,3
4/3/2017 11:27:00 AM,2017,4,3
7/3/2016 5:00:00 PM,2016,7,3
12/3/2016 7:41:00 PM,2016,12,3
1/4/2018 8:27:00 AM,2018,1,4
3/4/2017 9:29:00 PM,2017,3,4
6/4/2017 6:49:00 AM,2017,6,4
7/4/2016 1:09:00 AM,2016,7,4
8/4/2016 5:13:00 PM,2016,8,4
9/5/2015 4:02:00 AM,2015,9,5
12/5/2016 12:19:00 PM,2016,12,5
4/6/2017 9:42:00 AM,2017,4,6
6/6/2015 8:22:00 AM,2015,6,6
6/6/2017 2:52:00 PM,2017,6,6
7/6/2017 2:29:00 AM,2017,7,6
11/7/2016 8:09:00 AM,2016,11,7
8/8/2016 8:49:00 AM,2016,8,8
12/9/2015 11:31:00 PM,2015,12,9
1/10/2017 10:26:00 PM,2017,1,10
8/10/2016 1:17:00 AM,2016,8,10
9/10/2016 1:51:00 PM,2016,9,10
12/10/2015 3:33:00 AM,2015,12,10
2/11/2017 5:45:00 AM,2017,2,11
9/11/2016 5:37:00 AM,2016,9,11
4/12/2015 4:51:00 PM,2015,4,12
6/12/2015 3:37:00 AM,2015,6,12
8/12/2016 9:20:00 AM,2016,8,12
12/13/2015 1:32:00 PM,2015,12,13
1/14/2015 1:33:00 AM,2015,1,14
3/14/2017 3:10:00 PM,2017,3,14
3/14/2017 10:10:00 PM,2017,3,14
9/14/2017 11:45:00 AM,2017,9,14
3/15/2017 5:16:00 PM,2017,3,15
12/15/2017 12:40:00 PM,2017,12,15
1/16/2016 8:08:00 PM,2016,1,16
4/16/2016 3:38:00 PM,2016,4,16
6/16/2016 6:21:00 PM,2016,6,16
10/16/2016 5:28:00 PM,2016,10,16
1/17/2018 5:32:00 PM,2018,1,17
3/17/2015 11:27:00 AM,2015,3,17
10/17/2015 1:26:00 PM,2015,10,17
11/17/2015 10:19:00 PM,2015,11,17
11/17/2017 9:50:00 PM,2017,11,17
2/18/2017 6:26:00 AM,2017,2,18
10/18/2016 12:55:00 AM,2016,10,18
2/19/2015 8:46:00 PM,2015,2,19
8/19/2015 12:01:00 PM,2015,8,19
5/20/2016 12:26:00 PM,2016,5,20
8/20/2015 2:39:00 AM,2015,8,20
12/20/2016 4:20:00 PM,2016,12,20
3/21/2016 3:56:00 AM,2016,3,21
3/21/2016 9:11:00 AM,2016,3,21
8/23/2015 5:17:00 AM,2015,8,23
11/23/2015 6:28:00 PM,2015,11,23
1/24/2016 9:26:00 AM,2016,1,24
3/24/2017 11:23:00 PM,2017,3,24
8/24/2015 6:35:00 PM,2015,8,24
9/24/2017 6:34:00 PM,2017,9,24
12/24/2016 4:30:00 PM,2016,12,24
3/25/2017 8:24:00 PM,2017,3,25
6/25/2017 10:39:00 AM,2017,6,25
7/26/2017 10:41:00 PM,2017,7,26
1/27/2015 9:09:00 PM,2015,1,27
2/27/2016 6:04:00 AM,2016,2,27
7/27/2016 11:17:00 PM,2016,7,27
11/27/2015 10:24:00 AM,2015,11,27
12/27/2017 1:32:00 AM,2017,12,27
1/28/2017 12:10:00 AM,2017,1,28
5/28/2016 11:33:00 AM,2016,5,28
10/31/2016 12:44:00 PM,2016,10,31
1/1/2018 2:03:00 PM,2018,1,1
4/1/2016 11:53:00 PM,2016,4,1
5/1/2016 2:44:00 PM,2016,5,1
9/1/2015 5:00:00 PM,2015,9,1
6/2/2016 3:28:00 AM,2016,6,2
9/2/2015 2:17:00 AM,2015,9,2
3/3/2016 7:33:00 PM,2016,3,3
3/3/2017 1:20:00 AM,2017,3,3
3/3/2017 5:43:00 AM,2017,3,3
6/4/2017 7:41:00 PM,2017,6,4
10/4/2015 8:59:00 PM,2015,10,4
11/4/2016 7:59:00 AM,2016,11,4
3/5/2015 11:59:00 PM,2015,3,5
10/5/2016 4:10:00 PM,2016,10,5
1/6/2015 3:35:00 PM,2015,1,6
2/7/2015 11:56:00 PM,2015,2,7
4/7/2015 10:12:00 AM,2015,4,7
4/7/2015 10:28:00 PM,2015,4,7
5/7/2016 2:07:00 AM,2016,5,7
5/7/2017 12:44:00 AM,2017,5,7
10/8/2017 7:15:00 AM,2017,10,8
2/9/2016 1:48:00 PM,2016,2,9
2/9/2017 8:59:00 PM,2017,2,9
6/10/2017 1:02:00 AM,2017,6,10
7/10/2015 10:35:00 PM,2015,7,10
3/11/2017 1:35:00 PM,2017,3,11
5/11/2015 8:55:00 AM,2015,5,11
5/11/2017 8:41:00 PM,2017,5,11
6/11/2015 7:50:00 AM,2015,6,11
10/11/2015 6:47:00 AM,2015,10,11
3/12/2016 9:49:00 PM,2016,3,12
6/12/2015 6:26:00 AM,2015,6,12
11/13/2016 7:27:00 AM,2016,11,13
4/14/2015 5:17:00 AM,2015,4,14
5/14/2016 4:18:00 PM,2016,5,14
11/14/2016 1:35:00 PM,2016,11,14
1/15/2018 9:34:00 PM,2018,1,15
7/15/2017 2:49:00 PM,2017,7,15
11/15/2015 3:46:00 AM,2015,11,15
4/16/2015 3:11:00 AM,2015,4,16
1/17/2016 3:30:00 AM,2016,1,17
3/17/2015 2:58:00 PM,2015,3,17
5/17/2016 6:08:00 AM,2016,5,17
8/17/2017 10:50:00 AM,2017,8,17
9/17/2016 1:19:00 PM,2016,9,17
3/18/2015 5:24:00 PM,2015,3,18
10/18/2015 8:42:00 AM,2015,10,18
12/19/2017 3:50:00 PM,2017,12,19
8/20/2017 6:43:00 AM,2017,8,20
10/20/2016 10:44:00 PM,2016,10,20
1/21/2018 3:52:00 AM,2018,1,21
4/21/2015 9:23:00 PM,2015,4,21
5/21/2017 10:31:00 AM,2017,5,21
5/22/2015 1:01:00 AM,2015,5,22
6/22/2015 8:31:00 AM,2015,6,22
7/22/2016 9:37:00 PM,2016,7,22
6/23/2016 3:00:00 PM,2016,6,23
7/24/2016 3:24:00 AM,2016,7,24
1/26/2017 4:33:00 AM,2017,1,26
10/26/2017 12:18:00 AM,2017,10,26
5/27/2016 7:36:00 PM,2016,5,27
10/27/2015 8:20:00 AM,2015,10,27
12/27/2017 1:32:00 PM,2017,12,27
7/28/2016 2:00:00 AM,2016,7,28
8/28/2016 12:49:00 PM,2016,8,28
6/30/2017 10:17:00 AM,2017,6,30
10/30/2015 4:29:00 AM,2015,10,30
12/30/2015 8:52:00 PM,2015,12,30
1/2/2018 7:34:00 AM,2018,1,2
4/2/2015 2:40:00 AM,2015,4,2
5/2/2016 1:15:00 AM,2016,5,2
1/3/2016 1:41:00 PM,2016,1,3
7/3/2015 10:05:00 AM,2015,7,3
10/3/2015 8:17:00 PM,2015,10,3
1/4/2018 10:33:00 AM,2018,1,4
6/4/2017 1:50:00 PM,2017,6,4
12/4/2016 4:48:00 AM,2016,12,4
5/5/2016 3:26:00 PM,2016,5,5
8/5/2016 9:10:00 AM,2016,8,5
8/5/2017 6:07:00 PM,2017,8,5
8/5/2017 6:28:00 PM,2017,8,5
6/6/2017 12:15:00 PM,2017,6,6
7/6/2016 6:56:00 AM,2016,7,6
10/6/2016 1:12:00 PM,2016,10,6
12/6/2017 2:32:00 AM,2017,12,6
2/7/2015 8:05:00 PM,2015,2,7
2/7/2016 4:41:00 AM,2016,2,7
2/7/2017 10:29:00 AM,2017,2,7
4/7/2017 11:43:00 PM,2017,4,7
5/7/2015 8:56:00 AM,2015,5,7
2/8/2016 8:38:00 PM,2016,2,8
5/8/2016 3:20:00 AM,2016,5,8
11/8/2016 8:36:00 PM,2016,11,8
4/10/2016 8:32:00 PM,2016,4,10
9/10/2015 2:43:00 PM,2015,9,10
1/12/2015 4:17:00 PM,2015,1,12
8/12/2015 10:48:00 PM,2015,8,12
12/12/2015 7:24:00 AM,2015,12,12
12/12/2015 11:52:00 PM,2015,12,12
10/13/2015 7:50:00 AM,2015,10,13
5/14/2015 10:24:00 PM,2015,5,14
8/14/2015 8:16:00 AM,2015,8,14
8/14/2016 3:43:00 AM,2016,8,14
10/15/2015 2:19:00 PM,2015,10,15
10/15/2016 2:04:00 AM,2016,10,15
1/17/2015 5:35:00 AM,2015,1,17
1/18/2015 8:07:00 PM,2015,1,18
4/18/2015 7:12:00 AM,2015,4,18
1/19/2015 8:23:00 AM,2015,1,19
1/20/2018 11:13:00 PM,2018,1,20
11/20/2016 11:28:00 AM,2016,11,20
1/21/2015 5:24:00 AM,2015,1,21
6/21/2017 7:09:00 AM,2017,6,21
10/21/2016 12:44:00 PM,2016,10,21
12/22/2017 3:44:00 AM,2017,12,22
10/23/2017 4:10:00 AM,2017,10,23
2/24/2015 11:13:00 PM,2015,2,24
6/24/2017 1:53:00 AM,2017,6,24
9/24/2015 6:59:00 AM,2015,9,24
11/25/2016 12:41:00 PM,2016,11,25
11/26/2015 8:07:00 AM,2015,11,26
4/27/2016 11:40:00 PM,2016,4,27
6/27/2017 1:37:00 PM,2017,6,27
9/28/2015 10:50:00 PM,2015,9,28
10/28/2015 7:07:00 AM,2015,10,28
10/28/2017 9:36:00 AM,2017,10,28
12/28/2017 6:58:00 PM,2017,12,28
1/29/2018 12:26:00 PM,2018,1,29
12/29/2017 5:18:00 AM,2017,12,29
1/30/2018 1:29:00 PM,2018,1,30
5/1/2015 12:32:00 AM,2015,5,1
5/1/2017 3:32:00 AM,2017,5,1
3/2/2015 9:07:00 PM,2015,3,2
9/2/2015 5:16:00 AM,2015,9,2
7/3/2017 6:52:00 PM,2017,7,3
8/3/2016 6:59:00 AM,2016,8,3
3/4/2016 1:51:00 AM,2016,3,4
7/4/2016 8:26:00 PM,2016,7,4
1/5/2018 11:15:00 AM,2018,1,5
2/5/2015 1:10:00 AM,2015,2,5
7/5/2017 3:48:00 AM,2017,7,5
11/5/2015 12:53:00 PM,2015,11,5
11/5/2017 2:03:00 AM,2017,11,5
2/7/2015 9:09:00 PM,2015,2,7
3/7/2016 2:17:00 PM,2016,3,7
9/7/2017 4:19:00 PM,2017,9,7
4/8/2016 8:17:00 PM,2016,4,8
12/8/2016 1:54:00 PM,2016,12,8
4/9/2016 9:15:00 PM,2016,4,9
1/1/2018 8:48:00 AM,2018,1,1
3/1/2016 4:03:00 PM,2016,3,1
6/1/2015 7:30:00 AM,2015,6,1
9/2/2015 9:43:00 PM,2015,9,2
12/2/2016 1:49:00 AM,2016,12,2
2/4/2016 8:17:00 PM,2016,2,4
3/4/2015 8:56:00 PM,2015,3,4
7/5/2015 2:33:00 AM,2015,7,5
9/5/2017 12:02:00 AM,2017,9,5
10/5/2015 1:53:00 AM,2015,10,5
10/5/2016 2:36:00 AM,2016,10,5
